marker_gene_symbol	feature	marker_gene_ensembl_id	comment
Olfm1	Enteroendocrine cells (Haber et al Patent)	""	""
Vim	Enteroendocrine cells (Haber et al Patent)	""	""
Rimbp2	Enteroendocrine cells (Haber et al Patent)	""	""
Anxa6	Enteroendocrine cells (Haber et al Patent)	""	""
Scg3	Enteroendocrine cells (Haber et al Patent)	""	""
Ngfrap1	Enteroendocrine cells (Haber et al Patent)	""	""
Insm1	Enteroendocrine cells (Haber et al Patent)	""	""
Gng4	Enteroendocrine cells (Haber et al Patent)	""	""
Pax6	Enteroendocrine cells (Haber et al Patent)	""	""
Cnot61	Enteroendocrine cells (Haber et al Patent)	""	""
Cacna2d1	Enteroendocrine cells (Haber et al Patent)	""	""
Tox3	Enteroendocrine cells (Haber et al Patent)	""	""
Slc39a2	Enteroendocrine cells (Haber et al Patent)	""	""
Riiad1	Enteroendocrine cells (Haber et al Patent)	""	""
Mki67	Proliferation (Haber et al.)	""	""
Cdk4	Proliferation (Haber et al.)	""	""
Mcm5	Proliferation (Haber et al.)	""	""
Mcm6	Proliferation (Haber et al.)	""	""
Pcna	Proliferation (Haber et al.)	""	""
H2-Aa	MHC class II	ENSMUSG00000036594	""
H2-Ab1	MHC class II	ENSMUSG00000073421	""
H2-DMa	MHC class II	ENSMUSG00000037649	""
H2-DMb1	MHC class II	ENSMUSG00000079547	""
H2-Eb1	MHC class II	ENSMUSG00000060586	""
Cd74	MHC class II	ENSMUSG00000024610	""
Ciita	MHC class II	ENSMUSG00000022504	""
